taxonID	isMarine	isFreshwater	isTerrestrial	isExtinct
131835	0	1	0	0
132891	0	1	0	0
132892	0	Non-marine	0	0
132896	0	1	0	0
167010	0	1	0	0
167011	Brakish	1	0	0
167012	0	1	0	
167013	0	1	0	0
167014	0	1	-	0
167015	0	1	0	0
167016	0	1	0	0
167017	0	1	0	0
167018	0	1	0	0
167019	0	T	0	0
167020	0	TRUE	0	0
167021	0	1	0	0
167022	0	1	f	0
167023	0	1	FALSE	0
167024	0	1	0	
167026	0	1	0	0
167027	0	1	n	0
167028	0	y	0	0
167029	0	1	0	0
167030	0	1	0	0
167031	0	1	0	0
167032	0	1	0	0
167033	0	1	0	0
167034	0	1	0	0
167035	0	1	0	0
167036	0	1	0	0
167037	0	1	0	
167038	0	1	0	0
167039	0	1	0	
167040	0	1	0	
167041	0	1	0	0
167042	0	1	0	0
167043	0	1	0	0
167044	0	1	0	0
167045	0	1	0	
167046	0	1	0	
167047	0	1	0	0
167048	0	1	0	0
167049	0	1	0	0
167050	0	1	0	
167051	0	1	0	0
167052	0	1	0	0
167053	0	1	0	0
167054	0	1	0	0
167055	0	1	0	0
167056	0	1	0	0
167057	0	1	0	0
167058	0	1	0	0
167059	0	1	0	0
167060	0	1	0	0
167061	0	1	0	0
167062	0	1	0	0
167063	0	1	0	0
167064	0	1	0	0
167070	0	1	0	0
167071	0	1	0	
167072	0	1	0	0
167073	0	1	0	0
167074	0	1	0	
167075	0	1	0	0
167076	0	1	0	0
167077	0	1	0	0
167079	0	1	0	0
167080	0	1	0	0
167081	0	1	0	0
167082	0	1	0	0
167083	0	1	0	0
167084	0	1	0	0
167085	0	1	0	0
167086	0	1	0	0
167087	0	1	0	0
167088	0	1	0	
167089	0	1	0	0
167090	0	1	0	0
167091	0	1	0	0
167092	0	1	0	0
167093	0	1	0	0
167094	0	1	0	0
167095	0	1	0	
167096	0	1	0	
167097	0	1	0	0
167098	0	1	0	0
167099	0	1	0	0
167100	0	1	0	0
167101	0	1	0	
167102	0	1	0	0
167103	0	1	0	0
167104	0	1	0	0
167105	0	1	0	0
167108	0	1	0	0
167109	0	1	0	0
167110	0	1	0	0
167111	0	1	0	0
167112	0	1	0	0
167113	0	1	0	0
167114	0	1	0	0
167115	0	1	0	0
167116	0	1	0	0
167117	0	1	0	0
167118	0	1	0	0
167119	0	1	0	
167120	0	1	0	0
167121	0	1	0	0
167122	0	1	0	
167123	0	1	0	
167124	0	1	0	0
167125	0	1	0	
167126	0	1	0	0
167127	0	1	0	0
167128	0	1	0	
167129	0	1	0	
167130	0	1	0	0
167131	0	1	0	
167132	0	1	0	0
167133	0	1	0	0
167134	0	1	0	
167135	0	1	0	
167136	0	1	0	
167137	0	1	0	0
167138	0	1	0	0
167141	0	1	0	0
167143	0	1	0	0
167144	0	1	0	0
167145	0	1	0	0
167146	0	1	0	0
167147	0	1	0	0
167149	0	1	0	0
167150	0	1	0	0
167151	0	1	0	0
167152	0	1	0	0
167153	0	1	0	0
167154	0	1	0	0
167155	0	1	0	
167156	0	1	0	0
167157	0	1	0	0
167158	0	1	0	0
167159	0	1	0	0
167160	0	1	0	
167161	0	1	0	0
167162	0	1	0	0
167163	0	1	0	0
167164	0	1	0	0
167165	0	1	0	0
167166	0	1	0	0
167167	0	1	0	0
167168	0	1	0	0
167169	0	1	0	0
167170	0	1	0	0
167171	0	1	0	0
167172	0	1	0	
167173	0	1	0	0
167174	0	1	0	0
167175	0	1	0	
167176	0	1	0	0
167177	0	1	0	0
167178	0	1	0	0
167179	0	1	0	
167180	0	1	0	0
167181	0	1	0	0
167182	0	1	0	0
167183	0	1	0	0
167186	0	1	0	0
167187	0	1	0	0
167188	0	1	0	0
167189	0	1	0	0
167190	0	1	0	0
167191	0	1	0	0
167192	0	1	0	0
167193	0	1	0	0
167194	0	1	0	0
167195	0	1	0	0
167196	0	1	0	0
167197	0	1	0	0
167198	0	1	0	0
167199	0	1	0	0
167200	0	1	0	0
167201	0	1	0	0
167202	0	1	0	0
167203	0	1	0	0
167204	0	1	0	0
167205	0	1	0	0
167206	0	1	0	0
167207	0	1	0	0
167208	0	1	0	0
167209	0	1	0	0
167210	0	1	0	0
167211	0	1	0	0
167212	0	1	0	0
167213	0	1	0	0
167214	0	1	0	0
167215	0	1	0	0
167216	0	1	0	0
167217	0	1	0	0
167218	0	1	0	0
167219	0	1	0	0
167220	0	1	0	0
167221	0	1	0	0
167222	0	1	0	0
167223	0	1	0	0
167224	0	1	0	0
167225	0	1	0	
167226	0	1	0	0
167227	0	1	0	0
167228	0	1	0	0
167229	0	1	0	0
167230	0	1	0	0
167231	0	1	0	0
167233	0	1	0	0
167234	0	1	0	0
167235	0	1	0	0
167236	0	1	0	0
167237	0	1	0	0
167238	0	1	0	0
167239	0	1	0	0
167240	0	1	0	0
167241	0	1	0	0
167242	0	1	0	0
167243	0	1	0	0
167244	0	1	0	
167245	0	1	0	0
167246	0	1	0	0
167247	0	1	0	0
167248	0	1	0	0
167249	0	1	0	0
167250	0	1	0	0
167251	0	1	0	0
167252	0	1	0	0
167253	0	1	0	0
167254	0	1	0	
167255	0	1	0	0
167256	0	1	0	0
167257	0	1	0	0
167258	0	1	0	0
167259	0	1	0	0
167260	0	1	0	0
167261	0	1	0	0
167262	0	1	0	0
167263	0	1	0	0
167264	0	1	0	0
167265	0	1	0	0
167266	0	1	0	0
167267	0	1	0	0
167268	0	1	0	0
167269	0	1	0	0
167270	0	1	0	0
167271	0	1	0	0
167272	0	1	0	0
167273	0	1	0	0
167274	0	1	0	0
167275	0	1	0	0
167276	0	1	0	0
167277	0	1	0	
167278	0	1	0	0
167279	0	1	0	0
167280	0	1	0	0
167281	0	1	0	0
169062	0	1	0	
178284	0	1	0	0
184555	0	1	0	0
184623	0	1	0	
184625	0	1	0	
184659	0	1	0	0
184792	0	1	0	0
184832	0	1	0	
184842	0	1	0	
184966	0	1	0	0
190299	0	1	0	0
190300	0	1	0	0
190753	0	1	0	0
190949	0	1	0	0
191051	0	1	0	0
191052	0	1	0	0
191053	0	1	0	0
191054	0	1	0	0
191055	0	1	0	0
191056	0	1	0	0
191057	0	1	0	0
191058	0	1	0	0
191059	0	1	0	0
191060	0	1	0	0
191061	0	1	0	0
191062	0	1	0	0
191063	0	1	0	0
191064	0	1	0	0
